user_class,purpose,demand_mode_type,demand_mode,supply_mode,weight_name,weight_value
real,personal_business,access,PNR,PNR_access,drive_time_min,0.03
real,personal_business,egress,PNR,PNR_egress,walk_time_min,0.04
real,personal_business,egress,PNR,PNR_egress,drive_time_min,0.03
real,personal_business,transit,local_bus,local_bus,in_vehicle_time_min,0.02
real,personal_business,transit,local_bus,local_bus,wait_time_min,0.04
real,personal_business,egress,walk,walk_egress,arrive_early_min,0.00
real,personal_business,egress,walk,walk_egress,arrive_late_min,0.01
real,personal_business,transit,commuter_rail,local_bus,wait_time_min,0.04
real,personal_business,transit,commuter_rail,local_bus,overcap,0.01
real,personal_business,transit,commuter_rail,rapid_bus,in_vehicle_time_min,0.03
real,personal_business,transit,commuter_rail,rapid_bus,wait_time_min,0.04
real,personal_business,transit,commuter_rail,rapid_bus,overcap,0.01
real,personal_business,transit,commuter_rail,heavy_rail,in_vehicle_time_min,0.02
real,personal_business,transit,commuter_rail,heavy_rail,wait_time_min,0.04
real,personal_business,transit,commuter_rail,heavy_rail,overcap,0.01
not_real,personal_business,transfer,transfer,transfer,walk_time_min,0.4
not_real,personal_business,transfer,transfer,transfer,elevation_gain,0.04
not_real,personal_business,transfer,transfer,transfer,transfer_penalty,1.2
not_real,personal_business,access,walk,walk_access,depart_early_min,0.02
not_real,personal_business,access,walk,walk_access,time_min,0.4
not_real,personal_business,access,PNR,PNR_access,depart_early_min,0.002
not_real,personal_business,access,PNR,PNR_access,walk_time_min,0.4
not_real,personal_business,access,PNR,PNR_access,drive_time_min,0.3
not_real,personal_business,egress,walk,walk_egress,time_min,0.4
not_real,personal_business,egress,walk,walk_egress,arrive_late_min,0.06
not_real,personal_business,transit,local_bus,local_bus,in_vehicle_time_min,0.2
not_real,personal_business,transit,commuter_rail,local_bus,in_vehicle_time_min,0.3
not_real,personal_business,transit,commuter_rail,local_bus,wait_time_min,0.4
not_real,personal_business,transit,commuter_rail,local_bus,overcap,0.1
not_real,personal_business,transit,commuter_rail,rapid_bus,in_vehicle_time_min,0.3
not_real,personal_business,transit,commuter_rail,rapid_bus,wait_time_min,0.4
not_real,personal_business,transit,commuter_rail,rapid_bus,overcap,0.1
not_real,personal_business,transit,commuter_rail,heavy_rail,in_vehicle_time_min,0.2
not_real,personal_business,transit,commuter_rail,heavy_rail,wait_time_min,0.4
not_real,personal_business,transit,commuter_rail,heavy_rail,overcap,0.1
