purpose      user_class  demand_mode_type  demand_mode  supply_mode   weight_name             weight_value
school       lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
school       lowinc      transit           transit      heavy_rail    wait_time_min           2.0
school       medhighinc  transfer          transfer     transfer      walk_time_min           3.1
school       medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
school       medhighinc  access            walk         walk_access   preferred_delay_min     1.3
school       medhighinc  access            walk         walk_access   time_min                2.1
school       medhighinc  access            PNR          PNR_access    walk_time_min           2.1
school       medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.6
school       medhighinc  egress            walk         walk_egress   time_min                2.1
school       medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
school       medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
school       medhighinc  transit           transit      local_bus     in_vehicle_time_min     3.1
school       medhighinc  transit           transit      local_bus     wait_time_min           2.6
school       medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
school       medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
school       medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
school       medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
none         lowinc      transfer          transfer     transfer      walk_time_min           2.0
none         lowinc      transfer          transfer     transfer      transfer_penalty        12.0
none         lowinc      access            walk         walk_access   preferred_delay_min     1.2
none         lowinc      access            walk         walk_access   time_min                2.0
none         lowinc      access            PNR          PNR_access    walk_time_min           2.0
none         lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
none         lowinc      egress            walk         walk_egress   time_min                2.0
none         lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
none         lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
none         lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
none         lowinc      transit           transit      local_bus     wait_time_min           2.5
none         lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
none         lowinc      transit           transit      rapid_bus     wait_time_min           2.0
none         lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
none         lowinc      transit           transit      heavy_rail    wait_time_min           2.0
none         medhighinc  transfer          transfer     transfer      walk_time_min           2.9
none         medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
none         medhighinc  access            walk         walk_access   preferred_delay_min     1.9
none         medhighinc  access            walk         walk_access   time_min                2.1
none         medhighinc  access            PNR          PNR_access    walk_time_min           2.1
none         medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
none         medhighinc  egress            walk         walk_egress   time_min                2.1
none         medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
none         medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
none         medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
none         medhighinc  transit           transit      local_bus     wait_time_min           2.9
none         medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
none         medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
none         medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
none         medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
escort       lowinc      transfer          transfer     transfer      walk_time_min           2.0
escort       lowinc      transfer          transfer     transfer      transfer_penalty        12.0
escort       lowinc      access            walk         walk_access   preferred_delay_min     1.2
escort       lowinc      access            walk         walk_access   time_min                2.0
escort       lowinc      access            PNR          PNR_access    walk_time_min           2.0
escort       lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
escort       lowinc      egress            walk         walk_egress   time_min                2.0
escort       lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
escort       lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
escort       lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
escort       lowinc      transit           transit      local_bus     wait_time_min           2.5
escort       lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
escort       lowinc      transit           transit      rapid_bus     wait_time_min           2.0
escort       lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
escort       lowinc      transit           transit      heavy_rail    wait_time_min           2.0
escort       medhighinc  transfer          transfer     transfer      walk_time_min           3.1
escort       medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
escort       medhighinc  access            walk         walk_access   preferred_delay_min     1.3
escort       medhighinc  access            walk         walk_access   time_min                2.1
escort       medhighinc  access            PNR          PNR_access    walk_time_min           2.1
escort       medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.6
escort       medhighinc  egress            walk         walk_egress   time_min                2.1
escort       medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
escort       medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
escort       medhighinc  transit           transit      local_bus     in_vehicle_time_min     3.1
escort       medhighinc  transit           transit      local_bus     wait_time_min           2.6
escort       medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
escort       medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
escort       medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
escort       medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
persbus      lowinc      transfer          transfer     transfer      walk_time_min           2.0
persbus      lowinc      transfer          transfer     transfer      transfer_penalty        12.0
persbus      lowinc      access            walk         walk_access   preferred_delay_min     1.2
persbus      lowinc      access            walk         walk_access   time_min                2.0
persbus      lowinc      access            PNR          PNR_access    walk_time_min           2.0
persbus      lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
persbus      lowinc      egress            walk         walk_egress   time_min                2.0
persbus      lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
persbus      lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
persbus      lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
persbus      lowinc      transit           transit      local_bus     wait_time_min           2.5
persbus      lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
persbus      lowinc      transit           transit      rapid_bus     wait_time_min           2.0
persbus      lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
persbus      lowinc      transit           transit      heavy_rail    wait_time_min           2.0
persbus      medhighinc  transfer          transfer     transfer      walk_time_min           2.9
persbus      medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
persbus      medhighinc  access            walk         walk_access   preferred_delay_min     1.9
persbus      medhighinc  access            walk         walk_access   time_min                2.1
persbus      medhighinc  access            PNR          PNR_access    walk_time_min           2.1
persbus      medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
persbus      medhighinc  egress            walk         walk_egress   time_min                2.1
persbus      medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
persbus      medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
persbus      medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
persbus      medhighinc  transit           transit      local_bus     wait_time_min           2.9
persbus      medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
persbus      medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
persbus      medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
persbus      medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
shop         lowinc      transfer          transfer     transfer      walk_time_min           2.0
shop         lowinc      transfer          transfer     transfer      transfer_penalty        12.0
shop         lowinc      access            walk         walk_access   preferred_delay_min     1.2
shop         lowinc      access            walk         walk_access   time_min                2.0
shop         lowinc      access            PNR          PNR_access    walk_time_min           2.0
shop         lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
shop         lowinc      egress            walk         walk_egress   time_min                2.0
shop         lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
shop         lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
shop         lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
shop         lowinc      transit           transit      local_bus     wait_time_min           2.5
shop         lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
shop         lowinc      transit           transit      rapid_bus     wait_time_min           2.0
shop         lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
shop         lowinc      transit           transit      heavy_rail    wait_time_min           2.0
shop         medhighinc  transfer          transfer     transfer      walk_time_min           3.1
shop         medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
shop         medhighinc  access            walk         walk_access   preferred_delay_min     1.3
shop         medhighinc  access            walk         walk_access   time_min                2.1
shop         medhighinc  access            PNR          PNR_access    walk_time_min           2.1
shop         medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.6
shop         medhighinc  egress            walk         walk_egress   time_min                2.1
shop         medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
shop         medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
shop         medhighinc  transit           transit      local_bus     in_vehicle_time_min     3.1
shop         medhighinc  transit           transit      local_bus     wait_time_min           2.6
shop         medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
shop         medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
shop         medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
shop         medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
meal         lowinc      transfer          transfer     transfer      walk_time_min           2.0
meal         lowinc      transfer          transfer     transfer      transfer_penalty        12.0
meal         lowinc      access            walk         walk_access   preferred_delay_min     1.2
meal         lowinc      access            walk         walk_access   time_min                2.0
meal         lowinc      access            PNR          PNR_access    walk_time_min           2.0
meal         lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
meal         lowinc      egress            walk         walk_egress   time_min                2.0
meal         lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
meal         lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
meal         lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
meal         lowinc      transit           transit      local_bus     wait_time_min           2.5
meal         lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
meal         lowinc      transit           transit      rapid_bus     wait_time_min           2.0
meal         lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
meal         lowinc      transit           transit      heavy_rail    wait_time_min           2.0
meal         medhighinc  transfer          transfer     transfer      walk_time_min           2.9
meal         medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
meal         medhighinc  access            walk         walk_access   preferred_delay_min     1.9
meal         medhighinc  access            walk         walk_access   time_min                2.1
meal         medhighinc  access            PNR          PNR_access    walk_time_min           2.1
meal         medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
meal         medhighinc  egress            walk         walk_egress   time_min                2.1
meal         medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
meal         medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
meal         medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
meal         medhighinc  transit           transit      local_bus     wait_time_min           2.9
meal         medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
meal         medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
meal         medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
meal         medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
social       lowinc      transfer          transfer     transfer      walk_time_min           2.0
social       lowinc      transfer          transfer     transfer      transfer_penalty        12.0
social       lowinc      access            walk         walk_access   preferred_delay_min     1.2
social       lowinc      access            walk         walk_access   time_min                2.0
social       lowinc      access            PNR          PNR_access    walk_time_min           2.0
social       lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
social       lowinc      egress            walk         walk_egress   time_min                2.0
social       lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
social       lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
social       lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
social       lowinc      transit           transit      local_bus     wait_time_min           2.5
social       lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
social       lowinc      transit           transit      rapid_bus     wait_time_min           2.0
social       lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
social       lowinc      transit           transit      heavy_rail    wait_time_min           2.0
social       medhighinc  transfer          transfer     transfer      walk_time_min           3.1
social       medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
social       medhighinc  access            walk         walk_access   preferred_delay_min     1.3
social       medhighinc  access            walk         walk_access   time_min                2.1
social       medhighinc  access            PNR          PNR_access    walk_time_min           2.1
social       medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.6
social       medhighinc  egress            walk         walk_egress   time_min                2.1
social       medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
social       medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
social       medhighinc  transit           transit      local_bus     in_vehicle_time_min     3.1
social       medhighinc  transit           transit      local_bus     wait_time_min           2.6
social       medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
social       medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
social       medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
social       medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
recreational lowinc      transfer          transfer     transfer      walk_time_min           2.0
recreational lowinc      transfer          transfer     transfer      transfer_penalty        12.0
recreational lowinc      access            walk         walk_access   preferred_delay_min     1.2
recreational lowinc      access            walk         walk_access   time_min                2.0
recreational lowinc      access            PNR          PNR_access    walk_time_min           2.0
recreational lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
recreational lowinc      egress            walk         walk_egress   time_min                2.0
recreational lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
recreational lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
recreational lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
recreational lowinc      transit           transit      local_bus     wait_time_min           2.5
recreational lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
recreational lowinc      transit           transit      rapid_bus     wait_time_min           2.0
recreational lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
recreational lowinc      transit           transit      heavy_rail    wait_time_min           2.0
recreational medhighinc  transfer          transfer     transfer      walk_time_min           2.9
recreational medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
recreational medhighinc  access            walk         walk_access   preferred_delay_min     1.9
recreational medhighinc  access            walk         walk_access   time_min                2.1
recreational medhighinc  access            PNR          PNR_access    walk_time_min           2.1
recreational medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
recreational medhighinc  egress            walk         walk_egress   time_min                2.1
recreational medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
recreational medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
recreational medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
recreational medhighinc  transit           transit      local_bus     wait_time_min           2.9
recreational medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
recreational medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
recreational medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
recreational medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
medical      lowinc      transfer          transfer     transfer      walk_time_min           2.0
medical      lowinc      transfer          transfer     transfer      transfer_penalty        12.0
medical      lowinc      access            walk         walk_access   preferred_delay_min     1.2
medical      lowinc      access            walk         walk_access   time_min                2.0
medical      lowinc      access            PNR          PNR_access    walk_time_min           2.0
medical      lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
medical      lowinc      egress            walk         walk_egress   time_min                2.0
medical      lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
medical      lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
medical      lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
medical      lowinc      transit           transit      local_bus     wait_time_min           2.5
medical      lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
medical      lowinc      transit           transit      rapid_bus     wait_time_min           2.0
medical      lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
medical      lowinc      transit           transit      heavy_rail    wait_time_min           2.0
medical      medhighinc  transfer          transfer     transfer      walk_time_min           3.1
medical      medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
medical      medhighinc  access            walk         walk_access   preferred_delay_min     1.3
medical      medhighinc  access            walk         walk_access   time_min                2.1
medical      medhighinc  access            PNR          PNR_access    walk_time_min           2.1
medical      medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.6
medical      medhighinc  egress            walk         walk_egress   time_min                2.1
medical      medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
medical      medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
medical      medhighinc  transit           transit      local_bus     in_vehicle_time_min     3.1
medical      medhighinc  transit           transit      local_bus     wait_time_min           2.6
medical      medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
medical      medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
medical      medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
medical      medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
other        lowinc      transfer          transfer     transfer      walk_time_min           2.0
other        lowinc      transfer          transfer     transfer      transfer_penalty        12.0
other        lowinc      access            walk         walk_access   preferred_delay_min     1.2
other        lowinc      access            walk         walk_access   time_min                2.0
other        lowinc      access            PNR          PNR_access    walk_time_min           2.0
other        lowinc      access            PNR          PNR_access    drive_travel_time_min   1.5
other        lowinc      egress            walk         walk_egress   time_min                2.0
other        lowinc      egress            walk         walk_egress   preferred_delay_min     1.2
other        lowinc      egress            PNR          PNR_egress    drive_travel_time_min   1.5
other        lowinc      transit           transit      local_bus     in_vehicle_time_min     1.0
other        lowinc      transit           transit      local_bus     wait_time_min           2.5
other        lowinc      transit           transit      rapid_bus     in_vehicle_time_min     1.0
other        lowinc      transit           transit      rapid_bus     wait_time_min           2.0
other        lowinc      transit           transit      heavy_rail    in_vehicle_time_min     1.0
other        lowinc      transit           transit      heavy_rail    wait_time_min           2.0
other        medhighinc  transfer          transfer     transfer      walk_time_min           2.9
other        medhighinc  transfer          transfer     transfer      transfer_penalty        12.0
other        medhighinc  access            walk         walk_access   preferred_delay_min     1.9
other        medhighinc  access            walk         walk_access   time_min                2.1
other        medhighinc  access            PNR          PNR_access    walk_time_min           2.1
other        medhighinc  access            PNR          PNR_access    drive_travel_time_min   1.1
other        medhighinc  egress            walk         walk_egress   time_min                2.1
other        medhighinc  egress            walk         walk_egress   preferred_delay_min     1.3
other        medhighinc  egress            PNR          PNR_egress    drive_travel_time_min   1.6
other        medhighinc  transit           transit      local_bus     in_vehicle_time_min     2.1
other        medhighinc  transit           transit      local_bus     wait_time_min           2.9
other        medhighinc  transit           transit      rapid_bus     in_vehicle_time_min     1.1
other        medhighinc  transit           transit      rapid_bus     wait_time_min           2.1
other        medhighinc  transit           transit      heavy_rail    in_vehicle_time_min     1.1
other        medhighinc  transit           transit      heavy_rail    wait_time_min           2.1
