route_id,mode,proof_of_payment
1_1154,local_bus,0
1_1155,local_bus,0
1_1156,local_bus,0
1_1157,local_bus,0
1_1158,local_bus,0
1_1159,local_bus,0
1_1161,local_bus,0
1_1162,local_bus,0
1_1164,local_bus,0
1_1166,local_bus,0
1_1167,local_bus,0
1_1168,local_bus,0
1_1169,local_bus,0
1_1173,local_bus,0
1_1174,local_bus,0
1_1175,local_bus,0
1_1177,local_bus,0
1_1179,local_bus,0
1_1180,local_bus,0
1_1181,local_bus,0
1_1182,local_bus,0
1_1183,local_bus,0
1_1187,local_bus,0
1_1190,local_bus,0
1_1192,local_bus,0
1_1196,local_bus,0
1_1197,local_bus,0
1_1200,local_bus,0
1_1201,local_bus,0
1_1202,local_bus,0
1_1203,local_bus,0
1_1204,local_bus,0
1_1205,premium_bus,0
1_1206,local_bus,0
1_1207,local_bus,0
1_1208,local_bus,0
1_1209,local_bus,0
1_1210,local_bus,0
1_1211,premium_bus,0
1_1212,local_bus,0
1_1214,local_bus,0
1_1215,local_bus,0
1_1216,local_bus,0
1_1217,local_bus,0
1_1218,local_bus,0
1_1219,local_bus,0
1_1221,local_bus,0
1_1222,local_bus,0
1_1225,local_bus,0
1_1229,local_bus,0
1_1230,local_bus,0
1_1232,local_bus,0
1_1233,local_bus,0
1_1234,local_bus,0
1_1236,local_bus,0
1_1238,local_bus,0
1_1240,local_bus,0
1_1242,local_bus,0
1_1243,local_bus,0
1_1244,premium_bus,0
1_1245,local_bus,0
1_1247,local_bus,0
1_1248,local_bus,0
1_1249,local_bus,0
1_1250,local_bus,0
1_1251,local_bus,0
1_1252,local_bus,0
1_1253,local_bus,0
1_1255,local_bus,0
1_1256,local_bus,0
1_1257,local_bus,0
1_1260,local_bus,0
1_1261,local_bus,0
1_1265,local_bus,0
1_1266,local_bus,0
1_1268,local_bus,0
1_1269,local_bus,0
1_1271,local_bus,0
1_1272,local_bus,0
1_1273,local_bus,0
1_1277,local_bus,0
1_1291,local_bus,0
1_1301,premium_bus,0
1_1303,premium_bus,0
1_1304,local_bus,0
1_1306,premium_bus,0
1_1308,local_bus,0
1_1311,local_bus,0
1_1312,premium_bus,0
1_1316,local_bus,0
1_1330,local_bus,0
1_1331,local_bus,0
1_1342,local_bus,0
1_1345,local_bus,0
1_1346,local_bus,0
1_1347,local_bus,0
1_1348,local_bus,0
1_1355,premium_bus,0
1_1358,premium_bus,0
1_1372,premium_bus,0
1_1373,premium_bus,0
1_1600,premium_bus,0
1_1661,local_bus,0
1_1885,local_bus,0
1_1886,local_bus,0
1_1888,local_bus,0
1_1889,local_bus,0
1_1890,local_bus,0
1_1891,local_bus,0
1_1892,local_bus,0
1_1901,local_bus,0
1_1903,local_bus,0
1_1908,local_bus,0
1_1909,local_bus,0
1_1913,local_bus,0
1_1915,local_bus,0
1_1917,local_bus,0
1_1918,local_bus,0
1_1919,local_bus,0
1_1921,local_bus,0
1_1926,local_bus,0
1_1927,local_bus,0
1_1929,local_bus,0
1_1935,local_bus,0
1_1941,premium_bus,0
1_1982,premium_bus,0
1_1986,premium_bus,0
1_1987,premium_bus,0
1_1988,premium_bus,0
1_1989,premium_bus,0
1_1994,premium_bus,0
1_1995,premium_bus,0
1_2001,local_bus,0
1_2002,local_bus,0
1_2003,local_bus,0
1_2010,local_bus,0
1_2011,local_bus,0
1_2013,local_bus,0
1_2016,local_bus,0
1_2026,local_bus,0
1_2028,local_bus,0
1_2041,local_bus,0
1_2042,local_bus,0
1_2045,local_bus,0
1_2048,local_bus,0
1_2051,local_bus,0
1_2052,local_bus,0
1_2053,local_bus,0
1_2054,local_bus,0
1_2055,local_bus,0
1_2056,local_bus,0
1_2057,local_bus,0
1_2059,local_bus,0
1_2060,local_bus,0
1_2061,premium_bus,0
1_2100,local_bus,0
1_2102,premium_bus,0
1_2113,local_bus,0
1_2202,local_bus,0
1_2204,local_bus,0
1_2206,local_bus,0
1_2207,local_bus,0
1_2212,local_bus,0
1_2214,local_bus,0
1_2220,local_bus,0
1_2300,local_bus,0
1_2402,local_bus,0
1_2406,local_bus,0
1_2407,local_bus,0
1_2408,local_bus,0
1_2409,local_bus,0
1_2410,local_bus,0
1_2413,local_bus,0
1_2444,local_bus,0
1_2490,premium_bus,0
1_2495,premium_bus,0
1_2496,premium_bus,0
1_2497,premium_bus,0
1_2500,local_bus,0
1_2501,local_bus,0
1_2601,premium_bus,0
1_2603,premium_bus,0
1_3101,local_bus,0
1_3105,local_bus,0
1_3106,local_bus,0
1_3110,local_bus,0
1_3112,local_bus,0
1_3113,local_bus,0
1_3115,local_bus,0
1_3116,local_bus,0
1_3118,local_bus,0
1_3119,local_bus,0
1_3120,local_bus,0
1_3121,local_bus,0
1_3130,local_bus,0
1_3131,local_bus,0
1_3190,local_bus,0
1_3200,local_bus,0
1_3201,premium_bus,0
1_3202,premium_bus,0
1_3221,local_bus,0
1_3222,local_bus,0
1_3230,local_bus,0
1_3240,local_bus,0
1_3270,local_bus,0
1_3275,premium_bus,0
1_3280,local_bus,0
1_3401,premium_bus,0
1_3402,premium_bus,0
1_3404,premium_bus,0
1_3406,premium_bus,0
1_3408,premium_bus,0
1_3410,premium_bus,0
1_3411,premium_bus,0
1_3412,premium_bus,0
1_3413,premium_bus,0
1_3414,premium_bus,0
1_3415,premium_bus,0
1_3416,premium_bus,0
1_3417,premium_bus,0
1_3421,premium_bus,0
1_3422,premium_bus,0
1_3424,premium_bus,0
1_3425,premium_bus,0
1_3435,premium_bus,0
1_3441,premium_bus,0
1_3477,premium_bus,0
1_3701,premium_bus,0
1_3812,premium_bus,0
1_3821,premium_bus,0
1_3851,premium_bus,0
1_3855,premium_bus,0
1_3860,premium_bus,0
1_3870,premium_bus,0
1_3871,premium_bus,0
1_3880,premium_bus,0
1_4005,local_bus,0
1_4008,local_bus,0
1_4009,local_bus,0
1_4011,local_bus,0
1_4012,local_bus,0
1_4013,local_bus,0
1_4015,local_bus,0
1_4017,local_bus,0
1_4019,premium_bus,0
1_4020,local_bus,0
1_4021,local_bus,0
1_4022,premium_bus,0
1_4023,local_bus,0
1_4024,local_bus,0
1_4025,local_bus,0
1_4026,local_bus,0
1_4029,local_bus,0
1_4032,local_bus,0
1_4033,premium_bus,0
1_4034,premium_bus,0
1_4035,local_bus,0
1_4036,local_bus,0
1_4037,local_bus,0
1_4041,local_bus,0
1_4081,local_bus,0
1_4085,premium_bus,0
1_4086,local_bus,0
1_4090,local_bus,0
1_4091,premium_bus,0
1_4092,local_bus,0
1_4093,local_bus,0
1_4094,local_bus,0
1_4095,local_bus,0
1_4096,local_bus,0
1_4097,local_bus,0
1_4098,local_bus,0
1_4099,local_bus,0
1_4106,local_bus,0
1_4201,local_bus,0
1_4202,local_bus,0
1_4203,local_bus,0
1_4204,local_bus,0
1_4205,local_bus,0
1_4206,local_bus,0
1_4207,local_bus,0
1_4208,local_bus,0
1_4209,local_bus,0
1_4210,local_bus,0
1_4211,local_bus,0
1_4212,local_bus,0
1_4213,local_bus,0
1_4214,local_bus,0
1_4215,local_bus,0
1_4216,local_bus,0
1_4217,local_bus,0
1_4218,local_bus,0
1_4219,local_bus,0
1_4220,local_bus,0
1_4221,local_bus,0
1_4222,local_bus,0
1_4223,local_bus,0
1_4224,local_bus,0
1_4225,local_bus,0
1_4226,local_bus,0
1_4301,local_bus,0
1_4501,ferry,0
1_4502,ferry,0
1_5001,ferry,0
1_5002,ferry,0
1_5003,ferry,0
1_5004,ferry,0
1_5005,ferry,0
1_5006,ferry,0
1_5007,ferry,0
1_5008,ferry,0
1_5009,ferry,0
1_6001,commuter_rail,0
1_6003,commuter_rail,0
1_6010,light_rail,0
1_6011,light_rail,0
1_6510,premium_bus,0
1_6511,premium_bus,0
1_6513,premium_bus,0
1_6522,premium_bus,0
1_6532,premium_bus,0
1_6535,premium_bus,0
1_6540,premium_bus,0
1_6545,premium_bus,0
1_6550,premium_bus,0
1_6554,premium_bus,0
1_6555,premium_bus,0
1_6556,premium_bus,0
1_6560,premium_bus,0
1_6566,premium_bus,0
1_6574,premium_bus,0
1_6577,premium_bus,0
1_6578,premium_bus,0
1_6586,premium_bus,0
1_6590,premium_bus,0
1_6592,premium_bus,0
1_6593,premium_bus,0
1_6594,premium_bus,0
1_6595,premium_bus,0
1_6599,premium_bus,0
1_7002,local_bus,0
1_7003,local_bus,0
1_7004,local_bus,0
1_7005,local_bus,0
1_7007,local_bus,0
1_7008,local_bus,0
1_7009,local_bus,0
1_7012,local_bus,0
1_7014,local_bus,0
1_7017,local_bus,0
1_7018,local_bus,0
1_7025,local_bus,0
1_7027,local_bus,0
1_7029,local_bus,0
1_7070,local_bus,0
1_7072,local_bus,0
1_7701,local_bus,0
1_8001,light_rail,0
