from_fare_class,to_fare_class,is_flat_fee,transfer_rule
BAIN_SEA_FERRY,ST_LR_3Z,1,1
BAIN_SEA_FERRY,VASHON_FOUNT_FERRY,1,1
BAIN_SEA_FERRY,VASHON_PTDEF_FERRY,1,1
BAIN_SEA_FERRY,VASHON_SEATTLE_FERRY,1,1
BAIN_SEA_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
BAIN_SEA_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
BREM_PO_FERRY,BAIN_SEA_FERRY,1,1
BREM_PO_FERRY,BREM_SEA_FERRY,1,1
BREM_PO_FERRY,CT_COMMUTER,1,1
BREM_PO_FERRY,CT_LOCAL,1,1
BREM_PO_FERRY,CT_NE_COMMUTER,1,1
BREM_PO_FERRY,EDMONDS_KINGSTON_FERRY,1,1
BREM_PO_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
BREM_PO_FERRY,FOUNT_VASHON_FERRY,1,1
BREM_PO_FERRY,KINGSTON_EDMONDS_FERRY,1,1
BREM_PO_FERRY,KITSAP,1,1
BREM_PO_FERRY,METRO_1Z_AM_PEAK,1,1
BREM_PO_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
BREM_PO_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
BREM_PO_FERRY,METRO_1Z_PM_PEAK,1,1
BREM_PO_FERRY,METRO_2Z_AM_PEAK,1,1
BREM_PO_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
BREM_PO_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
BREM_PO_FERRY,METRO_2Z_PM_PEAK,1,1
BREM_PO_FERRY,MONORAIL,1,1
BREM_PO_FERRY,PIERCE,1,1
BREM_PO_FERRY,PTDEF_VASHION_FERRY,1,1
BREM_PO_FERRY,SEATTLE_VASHON_FERRY,1,1
BREM_PO_FERRY,SEA_BAIN_FERRY,1,1
BREM_PO_FERRY,SEA_BREM_FERRY,1,1
BREM_PO_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
BREM_PO_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
BREM_PO_FERRY,ST_EXPRESS_1Z,1,1
BREM_PO_FERRY,ST_EXPRESS_2Z,1,1
BREM_PO_FERRY,ST_LR_1Z,1,1
BREM_PO_FERRY,ST_LR_2Z,1,1
BREM_PO_FERRY,ST_LR_3Z,1,1
BREM_PO_FERRY,VASHON_FOUNT_FERRY,1,1
BREM_PO_FERRY,VASHON_PTDEF_FERRY,1,1
BREM_PO_FERRY,VASHON_SEATTLE_FERRY,1,1
BREM_PO_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
BREM_PO_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
BREM_SEA_FERRY,BAIN_SEA_FERRY,1,1
BREM_SEA_FERRY,BREM_PO_FERRY,1,1
BREM_SEA_FERRY,CT_COMMUTER,1,1
BREM_SEA_FERRY,CT_LOCAL,1,1
BREM_SEA_FERRY,CT_NE_COMMUTER,1,1
BREM_SEA_FERRY,EDMONDS_KINGSTON_FERRY,1,1
BREM_SEA_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
BREM_SEA_FERRY,FOUNT_VASHON_FERRY,1,1
BREM_SEA_FERRY,KINGSTON_EDMONDS_FERRY,1,1
BREM_SEA_FERRY,KITSAP,1,1
BREM_SEA_FERRY,METRO_1Z_AM_PEAK,1,1
BREM_SEA_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
BREM_SEA_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
BREM_SEA_FERRY,METRO_1Z_PM_PEAK,1,1
BREM_SEA_FERRY,METRO_2Z_AM_PEAK,1,1
BREM_SEA_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
BREM_SEA_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
BREM_SEA_FERRY,METRO_2Z_PM_PEAK,1,1
BREM_SEA_FERRY,MONORAIL,1,1
BREM_SEA_FERRY,PIERCE,1,1
BREM_SEA_FERRY,PTDEF_VASHION_FERRY,1,1
BREM_SEA_FERRY,SEATTLE_VASHON_FERRY,1,1
BREM_SEA_FERRY,SEA_BAIN_FERRY,1,1
BREM_SEA_FERRY,SEA_BREM_FERRY,1,1
BREM_SEA_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
BREM_SEA_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
BREM_SEA_FERRY,ST_EXPRESS_1Z,1,1
BREM_SEA_FERRY,ST_EXPRESS_2Z,1,1
BREM_SEA_FERRY,ST_LR_1Z,1,1
BREM_SEA_FERRY,ST_LR_2Z,1,1
BREM_SEA_FERRY,ST_LR_3Z,1,1
BREM_SEA_FERRY,VASHON_FOUNT_FERRY,1,1
BREM_SEA_FERRY,VASHON_PTDEF_FERRY,1,1
BREM_SEA_FERRY,VASHON_SEATTLE_FERRY,1,1
BREM_SEA_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
BREM_SEA_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
CT_COMMUTER,BAIN_SEA_FERRY,1,1
CT_COMMUTER,BREM_PO_FERRY,1,1
CT_COMMUTER,BREM_SEA_FERRY,1,1
CT_COMMUTER,CT_LOCAL,1,1
CT_COMMUTER,CT_NE_COMMUTER,1,1
CT_COMMUTER,EDMONDS_KINGSTON_FERRY,1,1
CT_COMMUTER,FOUNT_SOUTHWORTH_FERRY,1,1
CT_COMMUTER,FOUNT_VASHON_FERRY,1,1
CT_COMMUTER,KINGSTON_EDMONDS_FERRY,1,1
CT_COMMUTER,KITSAP,1,1
CT_COMMUTER,METRO_1Z_AM_PEAK,1,1
CT_COMMUTER,METRO_1Z_MD_OFF_PEAK,1,1
CT_COMMUTER,METRO_1Z_NT_OFF_PEAK,1,1
CT_COMMUTER,METRO_1Z_PM_PEAK,1,1
CT_COMMUTER,METRO_2Z_AM_PEAK,1,1
CT_COMMUTER,METRO_2Z_MD_OFF_PEAK,1,1
CT_COMMUTER,METRO_2Z_NT_OFF_PEAK,1,1
CT_COMMUTER,METRO_2Z_PM_PEAK,1,1
CT_COMMUTER,MONORAIL,1,1
CT_COMMUTER,PIERCE,1,1
CT_COMMUTER,PTDEF_VASHION_FERRY,1,1
CT_COMMUTER,SEATTLE_VASHON_FERRY,1,1
CT_COMMUTER,SEA_BAIN_FERRY,1,1
CT_COMMUTER,SEA_BREM_FERRY,1,1
CT_COMMUTER,SOUTHWORTH_FOUNT_FERRY,1,1
CT_COMMUTER,SOUTHWORTH_VASHON_FERRY,1,1
CT_COMMUTER,ST_EXPRESS_1Z,1,1
CT_COMMUTER,ST_EXPRESS_2Z,1,1
CT_COMMUTER,ST_LR_1Z,1,1
CT_COMMUTER,ST_LR_2Z,1,1
CT_COMMUTER,ST_LR_3Z,1,1
CT_COMMUTER,VASHON_FOUNT_FERRY,1,1
CT_COMMUTER,VASHON_PTDEF_FERRY,1,1
CT_COMMUTER,VASHON_SEATTLE_FERRY,1,1
CT_COMMUTER,VASHON_SOUTHWORTH_FERRY,1,1
CT_COMMUTER,WS_SEATTLE_FOOT_FERRY,1,1
CT_LOCAL,BAIN_SEA_FERRY,1,1
CT_LOCAL,BREM_PO_FERRY,1,1
CT_LOCAL,BREM_SEA_FERRY,1,1
CT_LOCAL,CT_COMMUTER,1,1
CT_LOCAL,CT_NE_COMMUTER,1,1
CT_LOCAL,EDMONDS_KINGSTON_FERRY,1,1
CT_LOCAL,FOUNT_SOUTHWORTH_FERRY,1,1
CT_LOCAL,FOUNT_VASHON_FERRY,1,1
CT_LOCAL,KINGSTON_EDMONDS_FERRY,1,1
CT_LOCAL,KITSAP,1,1
CT_LOCAL,METRO_1Z_AM_PEAK,1,1
CT_LOCAL,METRO_1Z_MD_OFF_PEAK,1,1
CT_LOCAL,METRO_1Z_NT_OFF_PEAK,1,1
CT_LOCAL,METRO_1Z_PM_PEAK,1,1
CT_LOCAL,METRO_2Z_AM_PEAK,1,1
CT_LOCAL,METRO_2Z_MD_OFF_PEAK,1,1
CT_LOCAL,METRO_2Z_NT_OFF_PEAK,1,1
CT_LOCAL,METRO_2Z_PM_PEAK,1,1
CT_LOCAL,MONORAIL,1,1
CT_LOCAL,PIERCE,1,1
CT_LOCAL,PTDEF_VASHION_FERRY,1,1
CT_LOCAL,SEATTLE_VASHON_FERRY,1,1
CT_LOCAL,SEA_BAIN_FERRY,1,1
CT_LOCAL,SEA_BREM_FERRY,1,1
CT_LOCAL,SOUTHWORTH_FOUNT_FERRY,1,1
CT_LOCAL,SOUTHWORTH_VASHON_FERRY,1,1
CT_LOCAL,ST_EXPRESS_1Z,1,1
CT_LOCAL,ST_EXPRESS_2Z,1,1
CT_LOCAL,ST_LR_1Z,1,1
CT_LOCAL,ST_LR_2Z,1,1
CT_LOCAL,ST_LR_3Z,1,1
CT_LOCAL,VASHON_FOUNT_FERRY,1,1
CT_LOCAL,VASHON_PTDEF_FERRY,1,1
CT_LOCAL,VASHON_SEATTLE_FERRY,1,1
CT_LOCAL,VASHON_SOUTHWORTH_FERRY,1,1
CT_LOCAL,WS_SEATTLE_FOOT_FERRY,1,1
CT_NE_COMMUTER,BAIN_SEA_FERRY,1,1
CT_NE_COMMUTER,BREM_PO_FERRY,1,1
CT_NE_COMMUTER,BREM_SEA_FERRY,1,1
CT_NE_COMMUTER,CT_COMMUTER,1,1
CT_NE_COMMUTER,CT_LOCAL,1,1
CT_NE_COMMUTER,EDMONDS_KINGSTON_FERRY,1,1
CT_NE_COMMUTER,FOUNT_SOUTHWORTH_FERRY,1,1
CT_NE_COMMUTER,FOUNT_VASHON_FERRY,1,1
CT_NE_COMMUTER,KINGSTON_EDMONDS_FERRY,1,1
CT_NE_COMMUTER,KITSAP,1,1
CT_NE_COMMUTER,METRO_1Z_AM_PEAK,1,1
CT_NE_COMMUTER,METRO_1Z_MD_OFF_PEAK,1,1
CT_NE_COMMUTER,METRO_1Z_NT_OFF_PEAK,1,1
CT_NE_COMMUTER,METRO_1Z_PM_PEAK,1,1
CT_NE_COMMUTER,METRO_2Z_AM_PEAK,1,1
CT_NE_COMMUTER,METRO_2Z_MD_OFF_PEAK,1,1
CT_NE_COMMUTER,METRO_2Z_NT_OFF_PEAK,1,1
CT_NE_COMMUTER,METRO_2Z_PM_PEAK,1,1
CT_NE_COMMUTER,MONORAIL,1,1
CT_NE_COMMUTER,PIERCE,1,1
CT_NE_COMMUTER,PTDEF_VASHION_FERRY,1,1
CT_NE_COMMUTER,SEATTLE_VASHON_FERRY,1,1
CT_NE_COMMUTER,SEA_BAIN_FERRY,1,1
CT_NE_COMMUTER,SEA_BREM_FERRY,1,1
CT_NE_COMMUTER,SOUTHWORTH_FOUNT_FERRY,1,1
CT_NE_COMMUTER,SOUTHWORTH_VASHON_FERRY,1,1
CT_NE_COMMUTER,ST_EXPRESS_1Z,1,1
CT_NE_COMMUTER,ST_EXPRESS_2Z,1,1
CT_NE_COMMUTER,ST_LR_1Z,1,1
CT_NE_COMMUTER,ST_LR_2Z,1,1
CT_NE_COMMUTER,ST_LR_3Z,1,1
CT_NE_COMMUTER,VASHON_FOUNT_FERRY,1,1
CT_NE_COMMUTER,VASHON_PTDEF_FERRY,1,1
CT_NE_COMMUTER,VASHON_SEATTLE_FERRY,1,1
CT_NE_COMMUTER,VASHON_SOUTHWORTH_FERRY,1,1
CT_NE_COMMUTER,WS_SEATTLE_FOOT_FERRY,1,1
EDMONDS_KINGSTON_FERRY,BAIN_SEA_FERRY,1,1
EDMONDS_KINGSTON_FERRY,BREM_PO_FERRY,1,1
EDMONDS_KINGSTON_FERRY,BREM_SEA_FERRY,1,1
EDMONDS_KINGSTON_FERRY,CT_COMMUTER,1,1
EDMONDS_KINGSTON_FERRY,CT_LOCAL,1,1
EDMONDS_KINGSTON_FERRY,CT_NE_COMMUTER,1,1
EDMONDS_KINGSTON_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
EDMONDS_KINGSTON_FERRY,FOUNT_VASHON_FERRY,1,1
EDMONDS_KINGSTON_FERRY,KINGSTON_EDMONDS_FERRY,1,1
EDMONDS_KINGSTON_FERRY,KITSAP,1,1
EDMONDS_KINGSTON_FERRY,METRO_1Z_AM_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_1Z_PM_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_2Z_AM_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
EDMONDS_KINGSTON_FERRY,METRO_2Z_PM_PEAK,1,1
EDMONDS_KINGSTON_FERRY,MONORAIL,1,1
EDMONDS_KINGSTON_FERRY,PIERCE,1,1
EDMONDS_KINGSTON_FERRY,PTDEF_VASHION_FERRY,1,1
EDMONDS_KINGSTON_FERRY,SEATTLE_VASHON_FERRY,1,1
EDMONDS_KINGSTON_FERRY,SEA_BAIN_FERRY,1,1
EDMONDS_KINGSTON_FERRY,SEA_BREM_FERRY,1,1
EDMONDS_KINGSTON_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
EDMONDS_KINGSTON_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
EDMONDS_KINGSTON_FERRY,ST_EXPRESS_1Z,1,1
EDMONDS_KINGSTON_FERRY,ST_EXPRESS_2Z,1,1
EDMONDS_KINGSTON_FERRY,ST_LR_1Z,1,1
EDMONDS_KINGSTON_FERRY,ST_LR_2Z,1,1
EDMONDS_KINGSTON_FERRY,ST_LR_3Z,1,1
EDMONDS_KINGSTON_FERRY,VASHON_FOUNT_FERRY,1,1
EDMONDS_KINGSTON_FERRY,VASHON_PTDEF_FERRY,1,1
EDMONDS_KINGSTON_FERRY,VASHON_SEATTLE_FERRY,1,1
EDMONDS_KINGSTON_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
EDMONDS_KINGSTON_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,BAIN_SEA_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,BREM_PO_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,BREM_SEA_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,CT_COMMUTER,1,1
FOUNT_SOUTHWORTH_FERRY,CT_LOCAL,1,1
FOUNT_SOUTHWORTH_FERRY,CT_NE_COMMUTER,1,1
FOUNT_SOUTHWORTH_FERRY,EDMONDS_KINGSTON_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,FOUNT_VASHON_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,KINGSTON_EDMONDS_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,KITSAP,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_1Z_AM_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_1Z_PM_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_2Z_AM_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,METRO_2Z_PM_PEAK,1,1
FOUNT_SOUTHWORTH_FERRY,MONORAIL,1,1
FOUNT_SOUTHWORTH_FERRY,PIERCE,1,1
FOUNT_SOUTHWORTH_FERRY,PTDEF_VASHION_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,SEATTLE_VASHON_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,SEA_BAIN_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,SEA_BREM_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,ST_EXPRESS_1Z,1,1
FOUNT_SOUTHWORTH_FERRY,ST_EXPRESS_2Z,1,1
FOUNT_SOUTHWORTH_FERRY,ST_LR_1Z,1,1
FOUNT_SOUTHWORTH_FERRY,ST_LR_2Z,1,1
FOUNT_SOUTHWORTH_FERRY,ST_LR_3Z,1,1
FOUNT_SOUTHWORTH_FERRY,VASHON_FOUNT_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,VASHON_PTDEF_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,VASHON_SEATTLE_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
FOUNT_SOUTHWORTH_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
FOUNT_VASHON_FERRY,BAIN_SEA_FERRY,1,1
FOUNT_VASHON_FERRY,BREM_PO_FERRY,1,1
FOUNT_VASHON_FERRY,BREM_SEA_FERRY,1,1
FOUNT_VASHON_FERRY,CT_COMMUTER,1,1
FOUNT_VASHON_FERRY,CT_LOCAL,1,1
FOUNT_VASHON_FERRY,CT_NE_COMMUTER,1,1
FOUNT_VASHON_FERRY,EDMONDS_KINGSTON_FERRY,1,1
FOUNT_VASHON_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
FOUNT_VASHON_FERRY,KINGSTON_EDMONDS_FERRY,1,1
FOUNT_VASHON_FERRY,KITSAP,1,1
FOUNT_VASHON_FERRY,METRO_1Z_AM_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_1Z_PM_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_2Z_AM_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
FOUNT_VASHON_FERRY,METRO_2Z_PM_PEAK,1,1
FOUNT_VASHON_FERRY,MONORAIL,1,1
FOUNT_VASHON_FERRY,PIERCE,1,1
FOUNT_VASHON_FERRY,PTDEF_VASHION_FERRY,1,1
FOUNT_VASHON_FERRY,SEATTLE_VASHON_FERRY,1,1
FOUNT_VASHON_FERRY,SEA_BAIN_FERRY,1,1
FOUNT_VASHON_FERRY,SEA_BREM_FERRY,1,1
FOUNT_VASHON_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
FOUNT_VASHON_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
FOUNT_VASHON_FERRY,ST_EXPRESS_1Z,1,1
FOUNT_VASHON_FERRY,ST_EXPRESS_2Z,1,1
FOUNT_VASHON_FERRY,ST_LR_1Z,1,1
FOUNT_VASHON_FERRY,ST_LR_2Z,1,1
FOUNT_VASHON_FERRY,ST_LR_3Z,1,1
FOUNT_VASHON_FERRY,VASHON_FOUNT_FERRY,1,1
FOUNT_VASHON_FERRY,VASHON_PTDEF_FERRY,1,1
FOUNT_VASHON_FERRY,VASHON_SEATTLE_FERRY,1,1
FOUNT_VASHON_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
FOUNT_VASHON_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
KINGSTON_EDMONDS_FERRY,BAIN_SEA_FERRY,1,1
KINGSTON_EDMONDS_FERRY,BREM_PO_FERRY,1,1
KINGSTON_EDMONDS_FERRY,BREM_SEA_FERRY,1,1
KINGSTON_EDMONDS_FERRY,CT_COMMUTER,1,1
KINGSTON_EDMONDS_FERRY,CT_LOCAL,1,1
KINGSTON_EDMONDS_FERRY,CT_NE_COMMUTER,1,1
KINGSTON_EDMONDS_FERRY,EDMONDS_KINGSTON_FERRY,1,1
KINGSTON_EDMONDS_FERRY,FOUNT_SOUTHWORTH_FERRY,1,1
KINGSTON_EDMONDS_FERRY,FOUNT_VASHON_FERRY,1,1
KINGSTON_EDMONDS_FERRY,KITSAP,1,1
KINGSTON_EDMONDS_FERRY,METRO_1Z_AM_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_1Z_MD_OFF_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_1Z_NT_OFF_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_1Z_PM_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_2Z_AM_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_2Z_MD_OFF_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_2Z_NT_OFF_PEAK,1,1
KINGSTON_EDMONDS_FERRY,METRO_2Z_PM_PEAK,1,1
KINGSTON_EDMONDS_FERRY,MONORAIL,1,1
KINGSTON_EDMONDS_FERRY,PIERCE,1,1
KINGSTON_EDMONDS_FERRY,PTDEF_VASHION_FERRY,1,1
KINGSTON_EDMONDS_FERRY,SEATTLE_VASHON_FERRY,1,1
KINGSTON_EDMONDS_FERRY,SEA_BAIN_FERRY,1,1
KINGSTON_EDMONDS_FERRY,SEA_BREM_FERRY,1,1
KINGSTON_EDMONDS_FERRY,SOUTHWORTH_FOUNT_FERRY,1,1
KINGSTON_EDMONDS_FERRY,SOUTHWORTH_VASHON_FERRY,1,1
KINGSTON_EDMONDS_FERRY,ST_EXPRESS_1Z,1,1
KINGSTON_EDMONDS_FERRY,ST_EXPRESS_2Z,1,1
KINGSTON_EDMONDS_FERRY,ST_LR_1Z,1,1
KINGSTON_EDMONDS_FERRY,ST_LR_2Z,1,1
KINGSTON_EDMONDS_FERRY,ST_LR_3Z,1,1
KINGSTON_EDMONDS_FERRY,VASHON_FOUNT_FERRY,1,1
KINGSTON_EDMONDS_FERRY,VASHON_PTDEF_FERRY,1,1
KINGSTON_EDMONDS_FERRY,VASHON_SEATTLE_FERRY,1,1
KINGSTON_EDMONDS_FERRY,VASHON_SOUTHWORTH_FERRY,1,1
KINGSTON_EDMONDS_FERRY,WS_SEATTLE_FOOT_FERRY,1,1
KITSAP,BAIN_SEA_FERRY,1,1
KITSAP,BREM_PO_FERRY,1,1
KITSAP,BREM_SEA_FERRY,1,1
KITSAP,CT_COMMUTER,1,1
KITSAP,CT_LOCAL,1,1
KITSAP,CT_NE_COMMUTER,1,1
KITSAP,EDMONDS_KINGSTON_FERRY,1,1
KITSAP,FOUNT_SOUTHWORTH_FERRY,1,1
KITSAP,FOUNT_VASHON_FERRY,1,1
KITSAP,KINGSTON_EDMONDS_FERRY,1,1
KITSAP,METRO_1Z_AM_PEAK,1,1
KITSAP,METRO_1Z_MD_OFF_PEAK,1,1
KITSAP,METRO_1Z_NT_OFF_PEAK,1,1
KITSAP,METRO_1Z_PM_PEAK,1,1
KITSAP,METRO_2Z_AM_PEAK,1,1
KITSAP,METRO_2Z_MD_OFF_PEAK,1,1
KITSAP,METRO_2Z_NT_OFF_PEAK,1,1
KITSAP,METRO_2Z_PM_PEAK,1,1
KITSAP,MONORAIL,1,1
KITSAP,PIERCE,1,1
KITSAP,PTDEF_VASHION_FERRY,1,1
KITSAP,SEATTLE_VASHON_FERRY,1,1
KITSAP,SEA_BAIN_FERRY,1,1
KITSAP,SEA_BREM_FERRY,1,1
KITSAP,SOUTHWORTH_FOUNT_FERRY,1,1
KITSAP,SOUTHWORTH_VASHON_FERRY,1,1
KITSAP,ST_EXPRESS_1Z,1,1
KITSAP,ST_EXPRESS_2Z,1,1
KITSAP,ST_LR_1Z,1,1
KITSAP,ST_LR_2Z,1,1
KITSAP,ST_LR_3Z,1,1
KITSAP,VASHON_FOUNT_FERRY,1,1
KITSAP,VASHON_PTDEF_FERRY,1,1
KITSAP,VASHON_SEATTLE_FERRY,1,1
KITSAP,VASHON_SOUTHWORTH_FERRY,1,1
KITSAP,WS_SEATTLE_FOOT_FERRY,1,1
METRO_1Z_AM_PEAK,BAIN_SEA_FERRY,1,1
METRO_1Z_AM_PEAK,BREM_PO_FERRY,1,1
METRO_1Z_AM_PEAK,BREM_SEA_FERRY,1,1
METRO_1Z_AM_PEAK,CT_COMMUTER,1,1
METRO_1Z_AM_PEAK,CT_LOCAL,1,1
METRO_1Z_AM_PEAK,CT_NE_COMMUTER,1,1
METRO_1Z_AM_PEAK,EDMONDS_KINGSTON_FERRY,1,1
METRO_1Z_AM_PEAK,FOUNT_SOUTHWORTH_FERRY,1,1
METRO_1Z_AM_PEAK,FOUNT_VASHON_FERRY,1,1
METRO_1Z_AM_PEAK,KINGSTON_EDMONDS_FERRY,1,1
METRO_1Z_AM_PEAK,KITSAP,1,1
METRO_1Z_AM_PEAK,METRO_1Z_MD_OFF_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_1Z_NT_OFF_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_1Z_PM_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_2Z_AM_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_2Z_MD_OFF_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_2Z_NT_OFF_PEAK,1,1
METRO_1Z_AM_PEAK,METRO_2Z_PM_PEAK,1,1
METRO_1Z_AM_PEAK,MONORAIL,1,1
METRO_1Z_AM_PEAK,PIERCE,1,1
METRO_1Z_AM_PEAK,PTDEF_VASHION_FERRY,1,1
METRO_1Z_AM_PEAK,SEATTLE_VASHON_FERRY,1,1
METRO_1Z_AM_PEAK,SEA_BAIN_FERRY,1,1
METRO_1Z_AM_PEAK,SEA_BREM_FERRY,1,1
METRO_1Z_AM_PEAK,SOUTHWORTH_FOUNT_FERRY,1,1
