,bump_iter,chosen,description,pathdir,pathmode,pathnum,person_id,person_trip_id,pf_cost,pf_fare,pf_initcost,pf_initfare,pf_iteration,pf_probability,trace,trip_list_id_num,sim_cost,ln_PS,logsum_component,logsum,probability,missed_xfer
10,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,1,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,4,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
11,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,1,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,4,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
12,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,1,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,4,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
13,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,1,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,4,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
14,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,2,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,5,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
15,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,2,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,5,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
16,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,2,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,6,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
17,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,2,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,6,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
18,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,2,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,6,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
19,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,2,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,6,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
20,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,2,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,6,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
21,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,3,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,7,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
22,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,3,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,7,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
23,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,3,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,8,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
24,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,3,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,8,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
25,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,3,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,8,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
26,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,3,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,8,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
27,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,3,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,8,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
28,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,4,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,9,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
29,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,4,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,9,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
30,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,4,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,10,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
31,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,4,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,10,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
32,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,4,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,10,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
33,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,4,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,10,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
34,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,4,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,10,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
35,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,5,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,11,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
36,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,5,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,11,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
37,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,5,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,12,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
38,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,5,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,12,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
39,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,5,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,12,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
40,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,5,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,12,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
41,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,5,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,12,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
42,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,6,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,13,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
43,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,6,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,13,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
44,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,6,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,14,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
45,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,6,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,14,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
46,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,6,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,14,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
47,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,6,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,14,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
48,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,6,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,14,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
49,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,7,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,15,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
50,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,7,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,15,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
51,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,7,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,16,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
52,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,7,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,16,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
53,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,7,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,16,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
54,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,7,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,16,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
55,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,7,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,16,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
56,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,8,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,17,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
57,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,8,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,17,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
58,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,8,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,18,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
59,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,8,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,18,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
60,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,8,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,18,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
61,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,8,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,18,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
62,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,8,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,18,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
63,,iter4.01 sim0,Z1 walk_access B0 local_bus t20 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,0,ben,9,90.9791764707,5.5,89.8027058824,5.0,4.01,0.99966464987,False,19,90.9712209123,-0.980829253012,1.07861388523e-20,1.07861388523e-20,1.0,0
64,,unchosen,Z1 walk_access B0 local_bus t19 B2 transfer R2 heavy_rail t151 R3 walk_egress Z5,1,walk-commuter_rail-walk,1,ben,9,106.979176471,5.5,105.802705882,5.0,4.01,0.000335350130466,False,19,20104.9712209,-0.980829253012,0.0,1.07861388523e-20,0.0,0
65,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,9,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,20,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
66,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,9,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,20,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
67,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,9,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,20,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
68,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,9,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,20,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
69,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,9,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,20,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
70,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,10,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,22,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
71,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,10,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,22,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
72,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,10,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,22,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
73,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,10,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,22,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
74,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,10,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,22,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
75,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,11,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,24,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
76,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,11,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,24,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
77,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,11,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,24,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
78,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,11,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,24,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
79,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,11,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,24,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
80,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,12,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,26,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
81,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,12,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,26,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
82,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,12,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,26,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
83,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,12,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,26,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
84,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,12,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,26,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
85,,unchosen,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,13,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,28,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
86,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,13,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,28,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
87,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,13,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,28,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
88,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,13,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,28,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
89,,unchosen,Z2 PNR_access R1 heavy_rail t140 R2 walk_egress Z3,2,PNR-commuter_rail-walk,4,bart,13,301.598246198,4.0,301.598246198,4.0,4.01,0.058012217398,False,28,301.598246198,-1.60943791243,1.44307186676e-66,2.48753095725e-65,0.058012217398,0
90,,iter4.01 sim0,Z2 PNR_access R1 heavy_rail t136 R2 walk_egress Z3,2,PNR-commuter_rail-walk,0,bart,14,297.598246198,4.0,297.598246198,4.0,4.01,0.428655528777,False,30,297.598246198,-1.60943791243,1.06629389783e-65,2.48753095725e-65,0.428655528777,0
91,,unchosen,Z2 PNR_access R1 heavy_rail t137 R2 walk_egress Z3,2,PNR-commuter_rail-walk,1,bart,14,298.598246198,4.0,298.598246198,4.0,4.01,0.259992720659,False,30,298.598246198,-1.60943791243,6.46739941298e-66,2.48753095725e-65,0.259992720659,0
92,,unchosen,Z2 PNR_access R1 heavy_rail t138 R2 walk_egress Z3,2,PNR-commuter_rail-walk,2,bart,14,299.598246198,4.0,299.598246198,4.0,4.01,0.157693556382,False,30,299.598246198,-1.60943791243,3.92267603258e-66,2.48753095725e-65,0.157693556382,0
93,,unchosen,Z2 PNR_access R1 heavy_rail t139 R2 walk_egress Z3,2,PNR-commuter_rail-walk,3,bart,14,300.598246198,4.0,300.598246198,4.0,4.01,0.0956459767846,False,30,300.598246198,-1.60943791243,2.37922328188e-66,2.48753095725e-65,0.0956459767846,0
