,A_id,A_id_num,A_lat,A_lon,A_seq,A_zone_id,B_id,B_id_num,B_lat,B_lon,B_seq,B_zone_id,board_state,bump_iter,linkmode,linknum,mode,mode_num,pathnum,person_id,person_trip_id,pf_A_time,pf_B_time,pf_iteration,pf_linkcost,pf_linkdist,pf_linkfare,pf_linktime,pf_waittime,route_id,trace,trip_id,trip_id_num,trip_list_id_num,fare,fare_period,from_fare_period,transfer_fare_type,transfer_fare,free_transfer,distance,sim_cost,chosen,board_time,overcap,overcap_frac,alight_time,alight_delay_min,new_A_time,new_B_time,new_linktime,new_waittime,missed_xfer
11,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,0,marge,1,2016-01-01 15:10:00.000000,2016-01-01 15:12:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,True,t136,92.0,2,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:10:00.000000,-2.0,-0.142857142857,2016-01-01 15:12:00.000000,0.0,2016-01-01 15:10:00.000000,2016-01-01 15:12:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
12,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,0,marge,1,2016-01-01 15:12:00.000000,2016-01-01 15:20:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,True,,,2,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:12:00.000000,2016-01-01 15:20:54.666667,0 days 00:08:54.666667000,,0
13,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,1,marge,1,2016-01-01 15:15:00.000000,2016-01-01 15:20:00.000000,4.01,76.4,0.75,0.0,0 days 00:05:00.000000000,,,True,,,2,0.0,,,,,,0.75,76.4,iter4.01 sim0,,,,,0.0,2016-01-01 15:15:00.000000,2016-01-01 15:20:00.000000,0 days 00:05:00.000000000,,0
14,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,board_easy,,transit,1,heavy_rail,302.0,1,marge,1,2016-01-01 15:20:00.000000,2016-01-01 15:22:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,True,t137,93.0,2,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,iter4.01 sim0,2016-01-01 15:20:00.000000,-1.0,-0.0666666666667,2016-01-01 15:22:00.000000,0.0,2016-01-01 15:20:00.000000,2016-01-01 15:22:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
15,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,1,marge,1,2016-01-01 15:22:00.000000,2016-01-01 15:30:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,True,,,2,0.0,,,,,,0.401,178.222222222,iter4.01 sim0,,,,,0.0,2016-01-01 15:22:00.000000,2016-01-01 15:30:54.666667,0 days 00:08:54.666667000,,0
16,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,2,marge,1,2016-01-01 15:25:00.000000,2016-01-01 15:30:00.000000,4.01,77.4,0.75,0.0,0 days 00:05:00.000000000,,,True,,,2,0.0,,,,,,0.75,77.4,unchosen,,,,,0.0,2016-01-01 15:25:00.000000,2016-01-01 15:30:00.000000,0 days 00:05:00.000000000,,0
17,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,2,marge,1,2016-01-01 15:30:00.000000,2016-01-01 15:32:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,True,t138,84.0,2,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:30:00.000000,-3.0,-0.230769230769,2016-01-01 15:32:00.000000,0.0,2016-01-01 15:30:00.000000,2016-01-01 15:32:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
18,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,2,marge,1,2016-01-01 15:32:00.000000,2016-01-01 15:40:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,True,,,2,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:32:00.000000,2016-01-01 15:40:54.666667,0 days 00:08:54.666667000,,0
19,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,3,marge,1,2016-01-01 15:35:00.000000,2016-01-01 15:40:00.000000,4.01,78.4,0.75,0.0,0 days 00:05:00.000000000,,,True,,,2,0.0,,,,,,0.75,78.4,unchosen,,,,,0.0,2016-01-01 15:35:00.000000,2016-01-01 15:40:00.000000,0 days 00:05:00.000000000,,0
20,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,3,marge,1,2016-01-01 15:40:00.000000,2016-01-01 15:42:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,True,t139,85.0,2,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:40:00.000000,-10.0,-1.66666666667,2016-01-01 15:42:00.000000,0.0,2016-01-01 15:40:00.000000,2016-01-01 15:42:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
21,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,3,marge,1,2016-01-01 15:42:00.000000,2016-01-01 15:50:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,True,,,2,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:42:00.000000,2016-01-01 15:50:54.666667,0 days 00:08:54.666667000,,0
22,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,4,marge,1,2016-01-01 15:45:00.000000,2016-01-01 15:50:00.000000,4.01,79.4,0.75,0.0,0 days 00:05:00.000000000,,,True,,,2,0.0,,,,,,0.75,79.4,unchosen,,,,,0.0,2016-01-01 15:45:00.000000,2016-01-01 15:50:00.000000,0 days 00:05:00.000000000,,0
23,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,4,marge,1,2016-01-01 15:50:00.000000,2016-01-01 15:52:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,True,t140,61.0,2,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:50:00.000000,-14.0,-7.0,2016-01-01 15:52:00.000000,0.0,2016-01-01 15:50:00.000000,2016-01-01 15:52:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
24,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,4,marge,1,2016-01-01 15:52:00.000000,2016-01-01 16:00:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,True,,,2,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:52:00.000000,2016-01-01 16:00:54.666667,0 days 00:08:54.666667000,,0
25,Z1,11,,,-1,,B0,5,37.779996,-122.48799,-1,,,,access,0,walk_access,101.0,0,ben,1,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,4.01,17.7777777778,0.4,0.0,0 days 00:08:53.333333000,,,False,,,3,0.0,,,,,,0.4,17.7777777778,iter4.01 sim0,,,,,0.0,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,0 days 00:08:53.333333000,,0
26,B0,5,37.779996,-122.48799,1,,B2,7,37.780689,-122.472314,3,,boarded,,transit,1,local_bus,301.0,0,ben,1,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.000000,4.01,15.5058823529,0.857441451554,2.0,0 days 00:07:12.000000000,0 days 00:00:00.000000000,A,False,t20,67.0,3,2.0,bus_local_fare_default,,,,0.0,0.857441451554,15.5297490279,iter4.01 sim0,2016-01-01 17:30:00.000000,0.0,0.0,2016-01-01 17:37:12.954667,0.0159111166667,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.954667,0 days 00:07:12.954667000,0 days 00:00:00.000000000,0
27,B2,7,37.780689,-122.472314,-1,,R2,2,37.780689,-122.472314,-1,,,,transfer,2,transfer,1.0,0,ben,1,2016-01-01 17:37:12.000000,2016-01-01 17:39:25.333333,4.01,14.4444444444,0.1,0.0,0 days 00:02:13.333333000,,,False,,,3,0.0,,,,,,0.1,14.4444444333,iter4.01 sim0,,,,,0.0,2016-01-01 17:37:12.954667,2016-01-01 17:39:26.288000,0 days 00:02:13.333333000,,0
28,R2,2,37.780689,-122.472314,2,,R3,3,37.773182,-122.471829,3,,board_easy,,transit,3,heavy_rail,302.0,0,ben,1,2016-01-01 17:39:25.333333,2016-01-01 17:45:04.000000,4.01,16.5241830065,0.519391440659,3.5,0 days 00:05:38.666667000,0 days 00:02:38.666667000,C,False,t151,43.0,3,3.5,rail_fare_class,bus_local_fare_default,transfer_discount,0.5,0.0,0.519391440659,16.4923607843,iter4.01 sim0,2016-01-01 17:42:04.000000,-2.0,-0.142857142857,2016-01-01 17:45:04.000000,0.0,2016-01-01 17:39:26.288000,2016-01-01 17:45:04.000000,0 days 00:05:37.712000000,0 days 00:02:37.712000000,0
29,R3,3,37.773182,-122.471829,-1,,Z5,15,,,-1,,,,egress,4,walk_egress,201.0,0,ben,1,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,4.01,26.726888889,0.601,0.0,0 days 00:13:21.333333000,,,False,,,3,0.0,,,,,,0.601,26.7268888889,iter4.01 sim0,,,,,0.0,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,0 days 00:13:21.333333000,,0
30,Z1,11,,,-1,,B0,5,37.779996,-122.48799,-1,,,,access,0,walk_access,101.0,1,ben,1,2016-01-01 17:13:06.666667,2016-01-01 17:22:00.000000,4.01,17.7777777778,0.4,0.0,0 days 00:08:53.333333000,,,False,,,3,0.0,,,,,,0.4,17.7777777778,unchosen,,,,,0.0,2016-01-01 17:13:06.666667,2016-01-01 17:22:00.000000,0 days 00:08:53.333333000,,0
31,B0,5,37.779996,-122.48799,1,,B2,7,37.780689,-122.472314,3,,bumped_unchosen,0.0,transit,1,local_bus,301.0,1,ben,1,2016-01-01 17:22:00.000000,2016-01-01 17:29:12.000000,4.01,15.5058823529,0.857441451554,2.0,0 days 00:07:12.000000000,0 days 00:00:00.000000000,A,False,t19,53.0,3,2.0,bus_local_fare_default,,,,0.0,0.857441451554,20013.529749,unchosen,2016-01-01 17:22:00.000000,0.0,0.0,2016-01-01 17:29:12.954667,0.0159111166667,2016-01-01 17:22:00.000000,2016-01-01 17:29:12.954667,0 days 00:07:12.954667000,0 days 00:00:00.000000000,0
32,B2,7,37.780689,-122.472314,-1,,R2,2,37.780689,-122.472314,-1,,,,transfer,2,transfer,1.0,1,ben,1,2016-01-01 17:29:12.000000,2016-01-01 17:31:25.333333,4.01,14.4444444444,0.1,0.0,0 days 00:02:13.333333000,,,False,,,3,0.0,,,,,,0.1,14.4444444333,unchosen,,,,,0.0,2016-01-01 17:29:12.954667,2016-01-01 17:31:26.288000,0 days 00:02:13.333333000,,0
33,R2,2,37.780689,-122.472314,2,,R3,3,37.773182,-122.471829,3,,,,transit,3,heavy_rail,302.0,1,ben,1,2016-01-01 17:31:25.333333,2016-01-01 17:45:04.000000,4.01,32.5241830065,0.519391440659,3.5,0 days 00:13:38.666667000,0 days 00:10:38.666667000,C,False,t151,43.0,3,3.5,rail_fare_class,bus_local_fare_default,transfer_discount,0.5,0.0,0.519391440659,32.4923607843,unchosen,2016-01-01 17:42:04.000000,-2.0,-0.142857142857,2016-01-01 17:45:04.000000,0.0,2016-01-01 17:31:26.288000,2016-01-01 17:45:04.000000,0 days 00:13:37.712000000,0 days 00:10:37.712000000,0
34,R3,3,37.773182,-122.471829,-1,,Z5,15,,,-1,,,,egress,4,walk_egress,201.0,1,ben,1,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,4.01,26.726888889,0.601,0.0,0 days 00:13:21.333333000,,,False,,,3,0.0,,,,,,0.601,26.7268888889,unchosen,,,,,0.0,2016-01-01 17:45:04.000000,2016-01-01 17:58:25.333333,0 days 00:13:21.333333000,,0
35,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,0,bart,1,2016-01-01 15:05:00.000000,2016-01-01 15:10:00.000000,4.01,75.4,0.75,0.0,0 days 00:05:00.000000000,,,False,,,4,0.0,,,,,,0.75,75.4,unchosen,,,,,0.0,2016-01-01 15:05:00.000000,2016-01-01 15:10:00.000000,0 days 00:05:00.000000000,,0
36,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,0,bart,1,2016-01-01 15:10:00.000000,2016-01-01 15:12:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,False,t136,92.0,4,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:10:00.000000,-2.0,-0.142857142857,2016-01-01 15:12:00.000000,0.0,2016-01-01 15:10:00.000000,2016-01-01 15:12:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
37,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,0,bart,1,2016-01-01 15:12:00.000000,2016-01-01 15:20:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,False,,,4,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:12:00.000000,2016-01-01 15:20:54.666667,0 days 00:08:54.666667000,,0
38,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,1,bart,1,2016-01-01 15:15:00.000000,2016-01-01 15:20:00.000000,4.01,76.4,0.75,0.0,0 days 00:05:00.000000000,,,False,,,4,0.0,,,,,,0.75,76.4,iter4.01 sim0,,,,,0.0,2016-01-01 15:15:00.000000,2016-01-01 15:20:00.000000,0 days 00:05:00.000000000,,0
39,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,board_easy,,transit,1,heavy_rail,302.0,1,bart,1,2016-01-01 15:20:00.000000,2016-01-01 15:22:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,False,t137,93.0,4,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,iter4.01 sim0,2016-01-01 15:20:00.000000,-1.0,-0.0666666666667,2016-01-01 15:22:00.000000,0.0,2016-01-01 15:20:00.000000,2016-01-01 15:22:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
40,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,1,bart,1,2016-01-01 15:22:00.000000,2016-01-01 15:30:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,False,,,4,0.0,,,,,,0.401,178.222222222,iter4.01 sim0,,,,,0.0,2016-01-01 15:22:00.000000,2016-01-01 15:30:54.666667,0 days 00:08:54.666667000,,0
41,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,2,bart,1,2016-01-01 15:25:00.000000,2016-01-01 15:30:00.000000,4.01,77.4,0.75,0.0,0 days 00:05:00.000000000,,,False,,,4,0.0,,,,,,0.75,77.4,unchosen,,,,,0.0,2016-01-01 15:25:00.000000,2016-01-01 15:30:00.000000,0 days 00:05:00.000000000,,0
42,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,2,bart,1,2016-01-01 15:30:00.000000,2016-01-01 15:32:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,False,t138,84.0,4,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:30:00.000000,-3.0,-0.230769230769,2016-01-01 15:32:00.000000,0.0,2016-01-01 15:30:00.000000,2016-01-01 15:32:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
43,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,2,bart,1,2016-01-01 15:32:00.000000,2016-01-01 15:40:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,False,,,4,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:32:00.000000,2016-01-01 15:40:54.666667,0 days 00:08:54.666667000,,0
44,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,3,bart,1,2016-01-01 15:35:00.000000,2016-01-01 15:40:00.000000,4.01,78.4,0.75,0.0,0 days 00:05:00.000000000,,,False,,,4,0.0,,,,,,0.75,78.4,unchosen,,,,,0.0,2016-01-01 15:35:00.000000,2016-01-01 15:40:00.000000,0 days 00:05:00.000000000,,0
45,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,3,bart,1,2016-01-01 15:40:00.000000,2016-01-01 15:42:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,False,t139,85.0,4,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:40:00.000000,-10.0,-1.66666666667,2016-01-01 15:42:00.000000,0.0,2016-01-01 15:40:00.000000,2016-01-01 15:42:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
46,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,3,bart,1,2016-01-01 15:42:00.000000,2016-01-01 15:50:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,False,,,4,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:42:00.000000,2016-01-01 15:50:54.666667,0 days 00:08:54.666667000,,0
47,Z2,12,,,-1,,R1,1,37.786397,-122.472648,-1,,,,access,0,PNR_access,104.0,4,bart,1,2016-01-01 15:45:00.000000,2016-01-01 15:50:00.000000,4.01,79.4,0.75,0.0,0 days 00:05:00.000000000,,,False,,,4,0.0,,,,,,0.75,79.4,unchosen,,,,,0.0,2016-01-01 15:45:00.000000,2016-01-01 15:50:00.000000,0 days 00:05:00.000000000,,0
48,R1,1,37.786397,-122.472648,1,,R2,2,37.780689,-122.472314,2,,,,transit,1,heavy_rail,302.0,4,bart,1,2016-01-01 15:50:00.000000,2016-01-01 15:52:00.000000,4.01,43.976023976,0.394830545089,4.0,0 days 00:02:00.000000000,0 days 00:00:00.000000000,C,False,t140,61.0,4,4.0,rail_fare_class,,,,0.0,0.394830545089,43.976023976,unchosen,2016-01-01 15:50:00.000000,-14.0,-7.0,2016-01-01 15:52:00.000000,0.0,2016-01-01 15:50:00.000000,2016-01-01 15:52:00.000000,0 days 00:02:00.000000000,0 days 00:00:00.000000000,0
49,R2,2,37.780689,-122.472314,-1,,Z3,13,,,-1,,,,egress,2,walk_egress,201.0,4,bart,1,2016-01-01 15:52:00.000000,2016-01-01 16:00:54.666667,4.01,178.222222222,0.401,0.0,0 days 00:08:54.666667000,,,False,,,4,0.0,,,,,,0.401,178.222222222,unchosen,,,,,0.0,2016-01-01 15:52:00.000000,2016-01-01 16:00:54.666667,0 days 00:08:54.666667000,,0
50,Z1,11,,,-1,,B0,5,37.779996,-122.48799,-1,,,,access,0,walk_access,101.0,0,ben,2,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,4.01,17.7777777778,0.4,0.0,0 days 00:08:53.333333000,,,False,,,5,0.0,,,,,,0.4,17.7777777778,iter4.01 sim0,,,,,0.0,2016-01-01 17:21:06.666667,2016-01-01 17:30:00.000000,0 days 00:08:53.333333000,,0
51,B0,5,37.779996,-122.48799,1,,B2,7,37.780689,-122.472314,3,,boarded,,transit,1,local_bus,301.0,0,ben,2,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.000000,4.01,15.5058823529,0.857441451554,2.0,0 days 00:07:12.000000000,0 days 00:00:00.000000000,A,False,t20,67.0,5,2.0,bus_local_fare_default,,,,0.0,0.857441451554,15.5297490279,iter4.01 sim0,2016-01-01 17:30:00.000000,0.0,0.0,2016-01-01 17:37:12.954667,0.0159111166667,2016-01-01 17:30:00.000000,2016-01-01 17:37:12.954667,0 days 00:07:12.954667000,0 days 00:00:00.000000000,0
52,B2,7,37.780689,-122.472314,-1,,R2,2,37.780689,-122.472314,-1,,,,transfer,2,transfer,1.0,0,ben,2,2016-01-01 17:37:12.000000,2016-01-01 17:39:25.333333,4.01,14.4444444444,0.1,0.0,0 days 00:02:13.333333000,,,False,,,5,0.0,,,,,,0.1,14.4444444333,iter4.01 sim0,,,,,0.0,2016-01-01 17:37:12.954667,2016-01-01 17:39:26.288000,0 days 00:02:13.333333000,,0
